Cidade,CD_GEOCMU,latitude,longitude
PARNAMIRIM,2610400,-8.1617583,-39.7696226
PASSIRA,2610509,-8.0123860,-35.5464607
PAUDALHO,2610608,-7.9061541,-35.1550239
PAULISTA,2610707,-7.9281548,-34.8832624
PEDRA,2610806,-8.6973865,-36.8999323
PESQUEIRA,2610905,-8.3907526,-36.7394675
PETROLÂNDIA,2611002,-8.8993298,-38.3078939
PETROLINA,2611101,-9.0197949,-40.5723592
POÇÃO,2611200,-8.2247733,-36.7117162
POMBOS,2611309,-8.1816820,-35.3872953
PRIMAVERA,2611408,-8.3269442,-35.3909352
QUIPAPÁ,2611507,-8.8360645,-36.0286796
QUIXABA,2611533,-7.7176099,-37.8490739
RECIFE,2611606,-8.0392254,-34.9331747
RIACHO DAS ALMAS,2611705,-8.0819508,-35.8828996
RIBEIRÃO,2611804,-8.5046106,-35.3665139
RIO FORMOSO,2611903,-8.6750690,-35.2181502
SAIRÉ,2612000,-8.3033631,-35.6845882
SALGADINHO,2612109,-7.9161449,-35.5938184
SALGUEIRO,2612208,-8.1290370,-39.0908677
SALOÁ,2612307,-8.9916000,-36.7389457
SANHARÓ,2612406,-8.3653102,-36.5495685
SANTA CRUZ,2612455,-8.2910510,-40.3018570
SANTA CRUZ DA BAIXA VERDE,2612471,-7.8494916,-38.1757119
SANTA CRUZ DO CAPIBARIBE,2612505,-7.8895675,-36.3252947
SANTA FILOMENA,2612554,-8.2236108,-40.5715166
SANTA MARIA DA BOA VISTA,2612604,-8.6297257,-39.9143557
SANTA MARIA DO CAMBUCÁ,2612703,-7.8247479,-35.8828970
SANTA TEREZINHA,2612802,-7.4304343,-37.4365168
SÃO BENEDITO DO SUL,2612901,-8.8092674,-35.9067073
SÃO BENTO DO UNA,2613008,-8.5359200,-36.4506380
SÃO CAITANO,2613107,-8.3288313,-36.1480075
SÃO JOÃO,2613206,-8.8799586,-36.3775828
SÃO JOAQUIM DO MONTE,2613305,-8.4550717,-35.8427314
SÃO JOSÉ DA COROA GRANDE,2613404,-8.8655559,-35.1850957
SÃO JOSÉ DO BELMONTE,2613503,-7.8657615,-38.7456670
SÃO JOSÉ DO EGITO,2613602,-7.5280194,-37.2731071
SÃO LOURENÇO DA MATA,2613701,-8.0235696,-35.1040910
SÃO VICENTE FERRER,2613800,-7.6061533,-35.4899550
SERRA TALHADA,2613909,-8.0361000,-38.3697281
SERRITA,2614006,-7.8504672,-39.3815375
SERTÂNIA,2614105,-8.2105597,-37.3370824
SIRINHAÉM,2614204,-8.5720169,-35.1720428
MOREILÂNDIA,2614303,-7.6180483,-39.5223446
SOLIDÃO,2614402,-7.5848510,-37.6513291
SURUBIM,2614501,-7.8918602,-35.7545258
TABIRA,2614600,-7.5775523,-37.5136812
TACAIMBÓ,2614709,-8.3479961,-36.2701572
TACARATU,2614808,-8.9567991,-38.0764914
TAMANDARÉ,2614857,-8.7455963,-35.2296466
TAQUARITINGA DO NORTE,2615003,-7.8694379,-36.1304551
TEREZINHA,2615102,-9.0775556,-36.6308409
TERRA NOVA,2615201,-8.1453175,-39.3892113
TIMBAÚBA,2615300,-7.5339240,-35.3404853
TORITAMA,2615409,-7.9990216,-36.0557254
TRACUNHAÉM,2615508,-7.7589882,-35.1604705
TRINDADE,2615607,-7.7277992,-40.2950047
TRIUNFO,2615706,-7.8498537,-38.0666286
TUPANATINGA,2615805,-8.6838720,-37.2802786
TUPARETAMA,2615904,-7.6881121,-37.2639380
VENTUROSA,2616001,-8.6150140,-36.8053194
VERDEJANTE,2616100,-7.9758605,-38.9890859
VERTENTE DO LÉRIO,2616183,-7.7776491,-35.8154683
VERTENTES,2616209,-7.8900593,-35.9822993
VICÊNCIA,2616308,-7.6595260,-35.3572238
VITÓRIA DE SANTO ANTÃO,2616407,-8.1500213,-35.2876319
XEXÉU,2616506,-8.8362055,-35.6533054
