,Unnamed: 0,latitude,longitude,day1,day2,day3,prediction
0,0,-7.927133237423744,-35.00250441027562,0.003947209101170301,0.003947209101170301,0.04210187867283821,0.04999629780650139
1,1,-7.927961887657614,-35.004015924060056,0.00397587101906538,0.00397587101906538,0.04225607961416245,0.05020781978964806
2,2,-7.927969138489639,-35.002508453473126,0.003928796388208865,0.003928796388208865,0.04194271937012672,0.04980031400918961
3,3,-7.928797787914017,-35.004019970736536,0.003958201035857201,0.003958201035857201,0.042103581130504615,0.05001998320221901
4,4,-7.928805039520012,-35.00251249711056,0.0039103589951992035,0.0039103589951992035,0.04178271070122719,0.0496034286916256
5,5,-7.928812285677871,-35.001005022062394,0.0038624748121947046,0.0038624748121947046,0.04145895317196846,0.049183901399374015
6,6,-7.929633688134918,-35.00402401785328,0.00394052779302001,0.00394052779302001,0.04195047914981842,0.04983153566718102
7,7,-7.929640940514884,-35.00251654118792,0.0038918997161090365,0.0038918997161090365,0.04162188246846199,0.04940568283200264
8,8,-7.929648187446134,-35.00100906310037,0.003843204583972692,0.003843204583972692,0.041290059685707085,0.04897646978497505
9,9,-7.929655428928639,-34.9995015835917,0.0037944887299090615,0.0037944887299090615,0.04095539450645447,0.04854437336325645
10,10,-7.929912493228017,-34.94523138383331,0.002696810988709331,0.002696810988709331,0.03455136343836784,0.039944987744092934
11,11,-7.9299195330897225,-34.94372385249476,0.002714248839765787,0.002714248839765787,0.03492196276783943,0.04035045951604843
12,12,-7.929926567501756,-34.94221631977572,0.0027329584117978807,0.0027329584117978807,0.03530874848365784,0.040774665772914886
13,13,-7.930469588320283,-35.00402806541029,0.003922857344150543,0.003922857344150543,0.041796814650297165,0.04964252933859825
14,14,-7.930476841474218,-35.002520585705206,0.003873423906043172,0.003873423906043172,0.041460271924734116,0.04920712113380432
15,15,-7.930484089178858,-35.00101310457794,0.0038238966371864076,0.0038238966371864076,0.04112014174461365,0.04876793548464775
16,16,-7.9304913314341725,-34.99950562202953,0.0037743232678622007,0.0037743232678622007,0.0407768152654171,0.04832546040415764
17,17,-7.930498568240143,-34.997998138061064,0.0037247554864734407,0.0037247554864734407,0.04043073207139969,0.047880243510007865
18,18,-7.930734325590738,-34.94825037744306,0.002619732404127717,0.002619732404127717,0.03337721154093742,0.03861667588353157
19,19,-7.93074137710418,-34.94674284582849,0.0026347478851675987,0.0026347478851675987,0.0337178148329258,0.038987312465906136
20,20,-7.930748423167413,-34.945235312831265,0.002652311231940985,0.002652311231940985,0.034091178327798836,0.03939580172300339
21,21,-7.930755463780415,-34.943727778452484,0.002671738620847464,0.002671738620847464,0.03448867052793503,0.03983214870095253
22,22,-7.930762498943155,-34.94222024269316,0.002692396519705653,0.002692396519705653,0.03490215167403221,0.04028694331645966
23,23,-7.93130548847014,-35.00403211340756,0.003905194578692317,0.003905194578692317,0.04164263606071472,0.049453027546405785
24,24,-7.9313127423980525,-35.00252463066244,0.003854935523122549,0.003854935523122549,0.04129792749881744,0.04900779575109482
25,25,-7.931319990876082,-35.00101714649511,0.003804554464295506,0.003804554464295506,0.04094923660159111,0.04855834320187569
26,26,-7.931327233904211,-34.99950966090664,0.003754099830985069,0.003754099830985069,0.04059696942567825,0.048105165362358086
27,27,-7.931334471482412,-34.998002173898094,0.003703625407069921,0.003703625407069921,0.04024157673120499,0.0476488284766674
28,28,-7.9315631962737445,-34.94976184622091,0.00255616707727313,0.00255616707727313,0.03251976147294044,0.03763209655880928
29,29,-7.931570253990405,-34.94825431294952,0.002569790463894606,0.002569790463894606,0.032843023538589484,0.037982601672410965
30,30,-7.931577306256306,-34.94674677829439,0.00258687580935657,0.00258687580935657,0.03321084752678871,0.03838460147380829
31,31,-7.931584353071419,-34.945239242256605,0.002606624737381935,0.002606624737381935,0.033613335341215134,0.038826584815979
32,32,-7.9315913944357135,-34.94373170483721,0.0026282572653144602,0.0026282572653144602,0.03404060006141663,0.03929711505770683
33,33,-7.93159843034917,-34.942224166037306,0.0026510597672313447,0.0026510597672313447,0.034483447670936584,0.03978556767106056
34,34,-7.9316054608117685,-34.94071662585794,0.0026744173374027014,0.0026744173374027014,0.03493377938866615,0.04028261080384254
35,35,-7.932134128432121,-35.005543646207286,0.003938452806323768,0.003938452806323768,0.04183637723326683,0.04971328377723694
36,36,-7.9321413885844505,-35.0040361618451,0.0038875453174114227,0.0038875453174114227,0.04148799926042557,0.04926308989524841
37,37,-7.93214864328634,-35.00252867605961,0.0038364403881132603,0.0038364403881132603,0.04113488644361496,0.04880776628851891
38,38,-7.932155892537769,-35.001021188851894,0.0037851822562515744,0.0037851822562515744,0.04077737778425217,0.04834774136543274
39,39,-7.932163136338713,-34.99951370022302,0.003733821446076035,0.003733821446076035,0.04041587933897972,0.0478835217654705
40,40,-7.932170374689144,-34.99800621017405,0.003682413371279836,0.003682413371279836,0.040050864219665534,0.04741569235920906
41,41,-7.932192057037122,-34.99348373151732,0.003528524888679385,0.003528524888679385,0.03894031420350075,0.04599736630916595
42,42,-7.9323920599638935,-34.95127332012372,0.002491255989298224,0.002491255989298224,0.031641844660043716,0.03662435710430145
43,43,-7.932399123884928,-34.94976578519627,0.002502381568774581,0.002502381568774581,0.03193324431777,0.03693800792098045
44,44,-7.9324061823546375,-34.948258248884,0.002518088091164827,0.002518088091164827,0.0322834700345993,0.037319645285606384
45,45,-7.932413235372999,-34.946750711188,0.002537497086450458,0.002537497086450458,0.03268181160092354,0.03775680810213089
46,46,-7.932420282939991,-34.94524317210931,0.002559686778113246,0.002559686778113246,0.03311679512262344,0.03823616728186607
