,latitude,longitude,pred_dia1,pred_dia2,pred_dia3
13179,-8.115524042377327,-34.938573027111694,0.2416445343854554,0.28468934670265433,0.32879261465885135
13180,-8.115531221203563,-34.937064805812575,0.24040720567561769,0.28357780448992065,0.3278099519855653
13181,-8.115538394450835,-34.93555658313525,0.2398373681793209,0.2831945233494779,0.3276178145511408
13182,-8.115545562119124,-34.93404835908077,0.243661888980077,0.28760567504153656,0.33263002216603343
13183,-8.115552724208401,-34.93254013365023,0.25611570969972997,0.3014317624289826,0.3478621197391214
13184,-8.115559880718642,-34.931031906844694,0.27933852780071877,0.32700728717284333,0.37584820329151514
13185,-8.115567031649826,-34.929523678665234,0.31147762874899687,0.36231085828969434,0.41439405770038107
13186,-8.115574177001923,-34.92801544911291,0.34755353442522496,0.4019096516789653,0.4576023652778667
13187,-8.115581316774911,-34.9265072181888,0.38208274801256614,0.43982093723363214,0.498978886669152
13188,-8.115588450968765,-34.924998985893986,0.4117873453812235,0.4724683592020078,0.5346414961800603
13189,-8.115595579583465,-34.92349075222953,0.43851254097830417,0.5018651256507876,0.566775526396381
13190,-8.115602702618974,-34.9219825171965,0.4720882122978236,0.5387360543365198,0.6070227415794447
13191,-8.115609820075282,-34.920474280795986,0.529647840511577,0.6017745077365872,0.6756747424029874
13192,-8.115616931952362,-34.918966043029044,0.6282594983105092,0.7096024848716889,0.792945664677625
13193,-8.115624038250179,-34.91745780389674,0.776442093109893,0.8715144789406524,0.9689246587465381
13194,-8.115631138968718,-34.91594956340015,0.973785920606236,1.0870634849840104,1.2031265017852761
13195,-8.115638234107951,-34.91444132154035,1.2171534338277277,1.3528263047474614,1.49183532020015
13196,-8.115645323667856,-34.91293307831841,1.505142341898139,1.667272978768103,1.8333903466193728
13197,-8.115652407648406,-34.91142483373541,1.836991112415646,2.0295726425481764,2.226889679599256
13198,-8.115659486049584,-34.909916587792395,2.2064907037019075,2.432950965432365,2.6649797992655735
13199,-8.115666558871352,-34.90840834049047,2.592867485241034,2.854743025953878,3.123057987072154
13200,-8.115673626113699,-34.90690009183069,2.953558046924744,3.2485103189741444,3.55071535573037
13201,-8.115680687776592,-34.90539184181412,3.228428818608949,3.5486445415157952,3.8767342478218283
13202,-8.115687743860008,-34.90388359044184,3.362268862118546,3.694908193114808,4.035726999329853
13203,-8.115694794363923,-34.90237533771492,3.3343102122391506,3.6646425333912167,4.0030976012633825
13204,-8.115701839288317,-34.90086708363443,3.1687766680948672,3.4842767656731186,3.807534891208966
13205,-8.115708878633164,-34.89935882820145,2.9172549199879416,3.2100941806219616,3.510134247812045
13206,-8.115715912398437,-34.89785057141704,2.632017932242244,2.899126823277623,3.1728038208216245
13207,-8.115722940584117,-34.89634231328227,2.3504033893669543,2.5921117081207896,2.839763542926978
13208,-8.115729963190173,-34.89483405379822,2.092783586769695,2.3112758828093836,2.535140821691995
13209,-8.115736980216582,-34.89332579296596,1.867082478641461,2.0652647210686705,2.2683201898094403
13210,-8.115743991663324,-34.891817530786554,1.6740059100452425,1.8548483301220582,2.040137596845338
13211,-8.116244336118076,-34.96270843781607,0.18532347297996976,0.2195260149610725,0.2545695845011111
13212,-8.116251604962669,-34.961200235600444,0.17926163195051448,0.21315073085435587,0.24787314987052467
13213,-8.116258868228114,-34.95969203198945,0.17287335971187723,0.20641929584956964,0.24079011385708649
13214,-8.116266125914388,-34.95818382698416,0.16687774718821036,0.20011626897250956,0.2341721134240622
13215,-8.116273378021466,-34.95667562058565,0.16242520466354327,0.19549679716141855,0.22938160759859105
13216,-8.116280624549324,-34.95516741279499,0.1609134843347717,0.19408588798513282,0.22807398848286642
13217,-8.116287865497936,-34.95365920361323,0.1634681625080865,0.197111593447441,0.23158230361688315
13218,-8.116295100867278,-34.952150993041485,0.17031403255246813,0.20481917275070227,0.2401727812834733
13219,-8.116302330657327,-34.95064278108078,0.18055299932985802,0.21622876559743576,0.25278178545142094
13220,-8.11630955486805,-34.94913456773222,0.1925845829794417,0.22959417984610653,0.26751382868865026
13221,-8.11631677349943,-34.947626352996856,0.20478565852905817,0.24314451656791158,0.2824466044040643
13222,-8.116323986551441,-34.94611813687578,0.2159338245194431,0.25554608336578033,0.29613239266076263
13223,-8.116331194024056,-34.94460991937004,0.2252453862756174,0.2659438357518451,0.307643044693096
13224,-8.116338395917253,-34.94310170048072,0.23220253202214902,0.2737728188801345,0.3163653033543019
13225,-8.116345592231005,-34.941593480208894,0.23636711828584245,0.27855499943783757,0.3217802646158958
13226,-8.116352782965286,-34.94008525855563,0.23731492342813487,0.27982753343056377,0.3233855124185525
13227,-8.116359968120074,-34.93857703552199,0.23482327856779506,0.27734747956281236,0.32091733456150884
13228,-8.116367147695348,-34.93706881110905,0.2294916434187786,0.2717688740814146,0.31508568584075336
13229,-8.116374321691074,-34.93556058531789,0.22383671550643225,0.26583754187817066,0.30887115266974075
13230,-8.116381490107235,-34.93405235814959,0.22311302977506475,0.26528640584114394,0.30849680925871414
13231,-8.1163886529438,-34.93254412960519,0.2339357752980291,0.2773329208449753,0.3217971857716533
13232,-8.116395810200748,-34.93103589968578,0.260050891267547,0.3060640671381032,0.3532086895836737
13233,-8.116402961878054,-34.92952766839243,0.2992121339257756,0.3490290964831875,0.4000710392902085
13234,-8.116410107975694,-34.92801943572622,0.34502913975741745,0.3992558483274511,0.4548159711321045
13235,-8.116417248493644,-34.92651120168821,0.3912759355580735,0.4499515189947796,0.5100699128148247
13236,-8.11642438343188,-34.92500296627947,0.43497218647233504,0.49786443538961667,0.5623031808980619
13237,-8.11643151279037,-34.92349472950107,0.4782558034613187,0.5453271500234593,0.6140477556057298
13238,-8.116438636569104,-34.921986491354104,0.5296517777015572,0.6016407937394823,0.6753999924282184
13239,-8.116445754768042,-34.920478251839626,0.603101901136891,0.6820164592383944,0.762871496448184
13240,-8.116452867387169,-34.9189700109587,0.7133012254850826,0.8024870779267967,0.8938659767161221
13241,-8.116459974426457,-34.9174617687124,0.8704461346196122,0.9741773417335069,1.0804592599598295
13242,-8.11646707588588,-34.91595352510181,1.079430161460746,1.2024263048620552,1.3284468768657907
13243,-8.116474171765423,-34.914445280127985,1.3432008722447417,1.490449888439366,1.6413197021967645
13244,-8.116481262065045,-34.91293703379202,1.6655140399683952,1.8423458018162409,2.023525789743054
