,date,state,city,confirmed,deaths,is_last,estimated_population_2019,confirmed_per_100k_inhabitants
1284,2020-05-14,PE,Itaquitinga,10,3,True,16955.0,58.97965
1285,2020-05-14,PE,Jaboatão dos Guararapes,1387,139,True,702298.0,197.49451000000002
1286,2020-05-14,PE,Jaqueira,11,2,True,11656.0,94.37200000000001
1287,2020-05-14,PE,Jataúba,9,1,True,17150.0,52.47813000000001
1288,2020-05-14,PE,Jatobá,2,0,True,14796.0,13.517170000000002
1289,2020-05-14,PE,João Alfredo,17,0,True,33822.0,50.26314
1290,2020-05-14,PE,Joaquim Nabuco,3,1,True,16023.0,18.72309
1291,2020-05-14,PE,Jucati,3,0,True,11424.0,26.2605
1292,2020-05-14,PE,Jupi,2,1,True,14836.0,13.480720000000002
1293,2020-05-14,PE,Jurema,8,0,True,15378.0,52.02237
1294,2020-05-14,PE,Lagoa de Itaenga,7,2,True,21429.0,32.66601
1295,2020-05-14,PE,Lagoa do Carro,22,2,True,18071.0,121.74202
1296,2020-05-14,PE,Lagoa do Ouro,1,0,True,13145.0,7.6074600000000006
1297,2020-05-14,PE,Lagoa dos Gatos,3,2,True,16290.0,18.41621
1298,2020-05-14,PE,Lajedo,5,1,True,40288.0,12.410639999999999
1299,2020-05-14,PE,Limoeiro,32,8,True,56250.0,56.88889
1300,2020-05-14,PE,Macaparana,9,2,True,25376.0,35.46658
1301,2020-05-14,PE,Machados,7,1,True,16088.0,43.510690000000004
1302,2020-05-14,PE,Maraial,1,1,True,11345.0,8.81446
1303,2020-05-14,PE,Moreno,70,5,True,62784.0,111.49337
1304,2020-05-14,PE,Nazaré da Mata,20,3,True,32471.0,61.593419999999995
1305,2020-05-14,PE,Olinda,1341,95,True,392482.0,341.67172
1306,2020-05-14,PE,Orobó,2,0,True,23884.0,8.37381
1307,2020-05-14,PE,Orocó,1,0,True,14991.0,6.670669999999999
1308,2020-05-14,PE,Ouricuri,9,1,True,69459.0,12.95728
1309,2020-05-14,PE,Palmares,32,6,True,63250.0,50.592890000000004
1310,2020-05-14,PE,Panelas,6,1,True,26474.0,22.66375
1311,2020-05-14,PE,Paranatama,1,0,True,11523.0,8.6783
1312,2020-05-14,PE,Passira,24,1,True,28933.0,82.95026
1313,2020-05-14,PE,Paudalho,69,10,True,56506.0,122.11093000000001
1314,2020-05-14,PE,Paulista,949,64,True,331774.0,286.03809
1315,2020-05-14,PE,Pedra,12,0,True,22617.0,53.057430000000004
1316,2020-05-14,PE,Pesqueira,11,0,True,67395.0,16.32169
1317,2020-05-14,PE,Petrolândia,3,0,True,36548.0,8.20838
1318,2020-05-14,PE,Petrolina,68,2,True,349145.0,19.47615
1319,2020-05-14,PE,Poção,3,0,True,11302.0,26.54397
1320,2020-05-14,PE,Pombos,73,6,True,27091.0,269.46218
1321,2020-05-14,PE,Primavera,12,0,True,14966.0,80.18175
1322,2020-05-14,PE,Quipapá,1,0,True,26037.0,3.84069
1323,2020-05-14,PE,Quixaba,4,2,True,6813.0,58.711290000000005
1324,2020-05-14,PE,Recife,7757,479,True,1645727.0,471.34184000000005
1325,2020-05-14,PE,Ribeirão,18,4,True,47415.0,37.96267
1326,2020-05-14,PE,Rio Formoso,12,3,True,23535.0,50.98789
1327,2020-05-14,PE,Sairé,1,1,True,9932.0,10.06847
1328,2020-05-14,PE,Salgueiro,32,4,True,60930.0,52.51928
1329,2020-05-14,PE,Saloá,1,1,True,15843.0,6.31194
1330,2020-05-14,PE,Sanharó,3,0,True,26462.0,11.337010000000001
1331,2020-05-14,PE,Santa Cruz,1,0,True,15398.0,6.49435
1332,2020-05-14,PE,Santa Cruz do Capibaribe,11,0,True,107937.0,10.191130000000001
1333,2020-05-14,PE,Santa Maria da Boa Vista,2,0,True,41931.0,4.7697400000000005
1334,2020-05-14,PE,Santa Maria do Cambucá,2,0,True,14137.0,14.14727
1335,2020-05-14,PE,São Benedito do Sul,1,0,True,15895.0,6.29129
1336,2020-05-14,PE,São Bento do Una,15,0,True,59504.0,25.208389999999998
1337,2020-05-14,PE,São Caitano,21,0,True,37245.0,56.38341
1338,2020-05-14,PE,São João,2,0,True,22793.0,8.77462
1339,2020-05-14,PE,São Joaquim do Monte,8,1,True,21356.0,37.4602
1340,2020-05-14,PE,São José da Coroa Grande,22,2,True,21298.0,103.29608
1341,2020-05-14,PE,São José do Belmonte,1,0,True,33959.0,2.94473
1342,2020-05-14,PE,São José do Egito,5,0,True,33951.0,14.72711
1343,2020-05-14,PE,São Lourenço da Mata,273,36,True,113230.0,241.10217999999998
1344,2020-05-14,PE,São Vicente Ferrer,5,0,True,18018.0,27.75003
1345,2020-05-14,PE,Serra Talhada,22,1,True,86350.0,25.477710000000002
1346,2020-05-14,PE,Serrita,1,1,True,19165.0,5.21785
1347,2020-05-14,PE,Sertânia,12,2,True,35907.0,33.41967
1348,2020-05-14,PE,Sirinhaém,20,2,True,45865.0,43.60624
1349,2020-05-14,PE,Surubim,12,3,True,65089.0,18.43629
1350,2020-05-14,PE,Tabira,4,2,True,28534.0,14.018360000000001
1351,2020-05-14,PE,Tamandaré,13,1,True,23388.0,55.58406
1352,2020-05-14,PE,Taquaritinga do Norte,2,2,True,28775.0,6.950480000000001
1353,2020-05-14,PE,Terezinha,2,0,True,7169.0,27.897890000000004
1354,2020-05-14,PE,Terra Nova,1,1,True,10096.0,9.904910000000001
1355,2020-05-14,PE,Timbaúba,29,12,True,53022.0,54.694280000000006
1356,2020-05-14,PE,Toritama,2,0,True,45219.0,4.4229199999999995
1357,2020-05-14,PE,Tracunhaém,3,1,True,13769.0,21.78807
1358,2020-05-14,PE,Trindade,12,4,True,30521.0,39.317190000000004
1359,2020-05-14,PE,Triunfo,6,1,True,15254.0,39.33395
1360,2020-05-14,PE,Tupanatinga,5,0,True,27304.0,18.31234
1361,2020-05-14,PE,Tuparetama,1,0,True,8202.0,12.19215
1362,2020-05-14,PE,Venturosa,4,1,True,18482.0,21.64268
1363,2020-05-14,PE,Vertente do Lério,1,0,True,7618.0,13.1268
1364,2020-05-14,PE,Vertentes,7,0,True,20731.0,33.765859999999996
1365,2020-05-14,PE,Vicência,13,0,True,32643.0,39.82477
1366,2020-05-14,PE,Vitória de Santo Antão,190,28,True,138757.0,136.93003000000002
1367,2020-05-14,PE,Xexéu,3,1,True,14725.0,20.37351
4103,2020-05-13,PE,Abreu e Lima,153,13,False,99990.0,153.0153
4104,2020-05-13,PE,Afogados da Ingazeira,5,0,False,37259.0,13.419579999999998
4105,2020-05-13,PE,Afrânio,1,0,False,19635.0,5.09295
4106,2020-05-13,PE,Agrestina,4,3,False,24885.0,16.07394
4107,2020-05-13,PE,Água Preta,25,5,False,36771.0,67.98836
4108,2020-05-13,PE,Águas Belas,20,0,False,43443.0,46.03734
4109,2020-05-13,PE,Alagoinha,2,0,False,14636.0,13.66494
4110,2020-05-13,PE,Aliança,25,9,False,38386.0,65.12791
4111,2020-05-13,PE,Altinho,5,0,False,22972.0,21.765629999999998
4112,2020-05-13,PE,Amaraji,16,4,False,22829.0,70.08629
4113,2020-05-13,PE,Araçoiaba,10,2,False,20524.0,48.72345
4114,2020-05-13,PE,Araripina,15,0,False,84418.0,17.768720000000002
4115,2020-05-13,PE,Arcoverde,34,7,False,74338.0,45.73704
4116,2020-05-13,PE,Barra de Guabiraba,4,1,False,14385.0,27.80674
4117,2020-05-13,PE,Barreiros,14,1,False,42659.0,32.8184
4118,2020-05-13,PE,Belém de Maria,0,0,False,12073.0,
4119,2020-05-13,PE,Belo Jardim,14,1,False,76439.0,18.315260000000002
4120,2020-05-13,PE,Betânia,4,1,False,12719.0,31.449009999999998
4121,2020-05-13,PE,Bezerros,17,1,False,60798.0,27.96145
4122,2020-05-13,PE,Bodocó,0,0,False,38146.0,
4123,2020-05-13,PE,Bom Conselho,6,1,False,48554.0,12.357380000000001
4124,2020-05-13,PE,Bom Jardim,17,6,False,39184.0,43.385059999999996
