,lat,lng,prediction
0,-7.927133237423744,-35.00250441027562,0.12374607794783314
1,-7.927961887657614,-35.004015924060056,0.12374607794783314
2,-7.927969138489639,-35.002508453473126,0.12374607794783314
3,-7.928797787914017,-35.004019970736536,0.12374607794783314
4,-7.928805039520012,-35.00251249711056,0.12374607794783314
5,-7.928812285677871,-35.001005022062394,0.12374607794783314
6,-7.929633688134918,-35.00402401785328,0.12374607794783314
7,-7.929640940514884,-35.00251654118792,0.12374607794783314
8,-7.929648187446134,-35.00100906310037,0.12374607794783314
9,-7.929655428928639,-34.9995015835917,0.12374607794783314
10,-7.929912493228017,-34.94523138383331,0.10807807324801137
11,-7.9299195330897225,-34.94372385249476,0.10807807324801137
12,-7.929926567501756,-34.94221631977572,0.10807807324801137
13,-7.930469588320283,-35.00402806541029,0.12374607794783314
14,-7.930476841474218,-35.002520585705206,0.12374607794783314
15,-7.930484089178858,-35.00101310457794,0.12374607794783314
16,-7.9304913314341725,-34.99950562202953,0.12374607794783314
17,-7.930498568240143,-34.997998138061064,0.12374607794783314
18,-7.930734325590738,-34.94825037744306,0.10807807324801137
19,-7.93074137710418,-34.94674284582849,0.10807807324801137
20,-7.930748423167413,-34.945235312831265,0.10807807324801137
21,-7.930755463780415,-34.943727778452484,0.10807807324801137
22,-7.930762498943155,-34.94222024269316,0.10807807324801137
23,-7.93130548847014,-35.00403211340756,0.12374607794783314
24,-7.9313127423980525,-35.00252463066244,0.12374607794783314
25,-7.931319990876082,-35.00101714649511,0.12374607794783314
26,-7.931327233904211,-34.99950966090664,0.12374607794783314
27,-7.931334471482412,-34.998002173898094,0.12374607794783314
28,-7.9315631962737445,-34.94976184622091,0.10807807324801137
29,-7.931570253990405,-34.94825431294952,0.10807807324801137
30,-7.931577306256306,-34.94674677829439,0.10807807324801137
31,-7.931584353071419,-34.945239242256605,0.10807807324801137
32,-7.9315913944357135,-34.94373170483721,0.10807807324801137
33,-7.93159843034917,-34.942224166037306,0.10807807324801137
34,-7.9316054608117685,-34.94071662585794,0.10807807324801137
35,-7.932134128432121,-35.005543646207286,0.12374607794783314
36,-7.9321413885844505,-35.0040361618451,0.12374607794783314
37,-7.93214864328634,-35.00252867605961,0.12374607794783314
38,-7.932155892537769,-35.001021188851894,0.12374607794783314
39,-7.932163136338713,-34.99951370022302,0.12374607794783314
40,-7.932170374689144,-34.99800621017405,0.12374607794783314
41,-7.932192057037122,-34.99348373151732,0.12374607794783314
