,id_municipio,uf,municipio,longitude,latitude,casos
2905,2873,PE,maraial,-35.82663,-8.790624000000001,0
2906,2874,PE,mirandiba,-38.738841,-8.121131,0
2907,2875,PE,moreilândia,-39.545999,-7.619314,0
2908,2876,PE,moreno,-35.08354,-8.108706,0
2909,2877,PE,nazaré da mata,-35.219297,-7.741491000000001,0
2910,2878,PE,olinda,-34.854504,-8.010166,5
2911,2879,PE,orobó,-35.595568,-7.745535,0
2912,2880,PE,orocó,-39.602631,-8.610258,0
2913,2881,PE,ouricuri,-40.079983,-7.8791839999999995,0
2914,2882,PE,palmares,-35.589032,-8.684225999999999,1
2915,2883,PE,palmeirina,-36.324202,-9.010896,0
2916,2884,PE,panelas,-36.012539000000004,-8.661211,0
2917,2885,PE,paranatama,-36.654905,-8.91875,0
2918,2886,PE,parnamirim,-39.579547,-8.087292,10
2919,2887,PE,passira,-35.581261,-7.997102000000001,0
2920,2888,PE,paudalho,-35.171639,-7.90287,0
2921,2889,PE,paulista,-34.868407,-7.934007000000001,0
2922,2890,PE,pedra,-36.939962,-8.496411,0
2923,2891,PE,pesqueira,-36.697783,-8.357974,0
2924,2893,PE,petrolina,-40.502731,-9.388662,2
2925,2892,PE,petrolândia,-38.302664,-9.068627000000001,0
2926,2895,PE,pombos,-35.396732,-8.139816,0
2927,2894,PE,poção,-36.711137,-8.187258,0
2928,2896,PE,primavera,-35.354378000000004,-8.329987,0
2929,2897,PE,quipapá,-36.013665,-8.811752,0
2930,2898,PE,quixaba,-37.84458,-7.707339,0
2931,2899,PE,recife,-34.877065,-8.046658,58
2932,2900,PE,riacho das almas,-35.864796000000005,-8.137417,0
2933,2901,PE,ribeirão,-35.369824,-8.509568,0
2934,2902,PE,rio formoso,-35.153211999999996,-8.659196000000001,0
2935,2903,PE,sairé,-35.696737,-8.328638,0
2936,2904,PE,salgadinho,-35.650288,-7.926900999999999,0
2937,2905,PE,salgueiro,-39.12469,-8.073734,0
2938,2906,PE,saloá,-36.691031,-8.972301,0
2939,2907,PE,sanharó,-36.569598,-8.360969,0
2940,2908,PE,santa cruz,-40.343368,-8.241534,0
2941,2909,PE,santa cruz da baixa verde,-38.14756,-7.813389999999999,0
2942,2910,PE,santa cruz do capibaribe,-36.206092,-7.948019,0
2943,2911,PE,santa filomena,-40.607853999999996,-8.166877000000001,0
2944,2912,PE,santa maria da boa vista,-39.824056,-8.797655,0
2945,2913,PE,santa maria do cambucá,-35.894138,-7.836760000000001,0
2946,2914,PE,santa terezinha,-37.47875,-7.37696,0
2947,2925,PE,serra talhada,-38.289034,-7.981778,0
2948,2926,PE,serrita,-39.295062,-7.940405999999999,0
2949,2927,PE,sertânia,-37.268392999999996,-8.068467,0
2950,2928,PE,sirinhaém,-35.112590000000004,-8.587782,0
2951,2929,PE,solidão,-37.644494,-7.594717,0
2952,2930,PE,surubim,-35.748102,-7.847456,0
2953,2915,PE,são benedito do sul,-35.945346,-8.816603,0
2954,2916,PE,são bento do una,-36.446469,-8.52637,0
2955,2917,PE,são caitano,-36.144077,-8.329239,0
2956,2919,PE,são joaquim do monte,-35.803498,-8.431962,0
2957,2920,PE,são josé da coroa grande,-35.151461,-8.889375,0
2958,2921,PE,são josé do belmonte,-38.757689,-7.857235,0
2959,2922,PE,são josé do egito,-37.273974,-7.469447,0
2960,2918,PE,são joão,-36.365320000000004,-8.875762,0
2961,2923,PE,são lourenço da mata,-35.012359000000004,-8.006839999999999,3
2962,2924,PE,são vicente ferrer,-35.480844,-7.589691,0
2963,2931,PE,tabira,-37.537735,-7.583661,0
2964,2932,PE,tacaimbó,-36.300035,-8.308672999999999,0
2965,2933,PE,tacaratu,-38.150401,-9.097976,0
2966,2934,PE,tamandaré,-35.103285,-8.756646,0
2967,2935,PE,taquaritinga do norte,-36.042265,-7.894457000000001,0
2968,2936,PE,terezinha,-36.627235999999996,-9.056208,0
2969,2937,PE,terra nova,-39.382482,-8.222436,0
2970,2938,PE,timbaúba,-35.311884,-7.504835000000001,0
2971,2939,PE,toritama,-36.063659,-8.009546,0
2972,2940,PE,tracunhaém,-35.231421000000005,-7.802283999999999,0
2973,2941,PE,trindade,-40.264720000000004,-7.7589999999999995,0
2974,2942,PE,triunfo,-38.097776,-7.832719,0
2975,2943,PE,tupanatinga,-37.344532,-8.747983999999999,0
2976,2944,PE,tuparetama,-37.31653,-7.6003,0
2977,2945,PE,venturosa,-36.874187,-8.578855,0
2978,2946,PE,verdejante,-38.970083,-7.922353,0
2979,2947,PE,vertente do lério,-35.849053999999995,-7.770844,0
2980,2948,PE,vertentes,-35.968143,-7.901581,0
2981,2949,PE,vicência,-35.31395,-7.656549000000001,0
2982,2950,PE,vitória de santo antão,-35.29762,-8.128191000000001,0
2983,2951,PE,xexéu,-35.621221999999996,-8.804601,0
2984,2771,PE,água preta,-35.526311,-8.706095,0
2985,2772,PE,águas belas,-37.122619,-9.111255,0
