,latitude,longitude,day1,day2,day3,prediction
13998,-8.130635229766373,-34.92507069765962,0.6027102470397949,0.6027102470397949,0.6027102470397949,0.6027102470397949
13999,-8.130642371769865,-34.9235624078936,0.7092342972755432,0.7092342972755432,0.7092342972755432,0.7092342972755432
14000,-8.130649508183698,-34.92205411675877,0.8325138688087463,0.8325138688087463,0.8325138688087463,0.8325138688087463
14001,-8.130656639007844,-34.92054582425618,0.9759200811386108,0.9759200811386108,0.9759200811386108,0.9759200811386108
14002,-8.130663764242275,-34.91903753038692,1.143807053565979,1.143807053565979,1.143807053565979,1.143807053565979
14003,-8.130670883886985,-34.91752923515206,1.341338753700256,1.341338753700256,1.341338753700256,1.341338753700256
14004,-8.130677997941925,-34.91602093855266,1.574031472206116,1.574031472206116,1.574031472206116,1.574031472206116
14005,-8.130685106407087,-34.91451264058981,1.846765637397766,1.846765637397766,1.846765637397766,1.846765637397766
14006,-8.13069220928244,-34.91300434126457,2.161882877349854,2.161882877349854,2.161882877349854,2.161882877349854
14007,-8.13069930656796,-34.911496040578,2.515983104705811,2.515983104705811,2.515983104705811,2.515983104705811
14008,-8.130706398263621,-34.90998773853119,2.89546012878418,2.89546012878418,2.89546012878418,2.89546012878418
14009,-8.130713484369405,-34.90847943512521,3.272172212600708,3.272172212600708,3.272172212600708,3.272172212600708
14010,-8.130720564885282,-34.90697113036113,3.602903127670288,3.602903127670288,3.602903127670288,3.602903127670288
14011,-8.130727639811228,-34.90546282424002,3.837397575378418,3.837397575378418,3.837397575378418,3.837397575378418
14012,-8.13073470914722,-34.90395451676294,3.935625314712524,3.935625314712524,3.935625314712524,3.935625314712524
14013,-8.130741772893236,-34.90244620793098,3.885456562042236,3.885456562042236,3.885456562042236,3.885456562042236
14014,-8.130748831049248,-34.90093789774521,3.707480669021606,3.707480669021606,3.707480669021606,3.707480669021606
14015,-8.130755883615231,-34.89942958620669,3.443420886993408,3.443420886993408,3.443420886993408,3.443420886993408
14016,-8.131312606854639,-34.95825678067888,0.143714502453804,0.143714502453804,0.143714502453804,0.143714502453804
14017,-8.131319872581077,-34.95674851817838,0.1356557756662369,0.1356557756662369,0.1356557756662369,0.1356557756662369
14018,-8.131327132717818,-34.95524025428547,0.130864217877388,0.130864217877388,0.130864217877388,0.130864217877388
14019,-8.131334387264834,-34.95373198900123,0.1301354169845581,0.1301354169845581,0.1301354169845581,0.1301354169845581
14020,-8.131341636222103,-34.95222372232671,0.1327841132879257,0.1327841132879257,0.1327841132879257,0.1327841132879257
14021,-8.131348879589599,-34.95071545426302,0.136251762509346,0.136251762509346,0.136251762509346,0.136251762509346
14022,-8.131356117367297,-34.94920718481119,0.1365686058998108,0.1365686058998108,0.1365686058998108,0.1365686058998108
14023,-8.131363349555171,-34.94769891397232,0.1294284462928772,0.1294284462928772,0.1294284462928772,0.1294284462928772
14024,-8.1313705761532,-34.94619064174748,0.1114934235811234,0.1114934235811234,0.1114934235811234,0.1114934235811234
14025,-8.131377797161358,-34.94468236813773,0.08223783224821091,0.08223783224821091,0.08223783224821091,0.08223783224821091
14026,-8.131385012579615,-34.94317409314414,0.04703237488865852,0.04703237488865852,0.04703237488865852,0.04703237488865852
14027,-8.13139222240795,-34.94166581676778,0.01983950659632683,0.01983950659632683,0.01983950659632683,0.01983950659632683
14028,-8.13139942664634,-34.94015753900975,0.01840481348335743,0.01840481348335743,0.01840481348335743,0.01840481348335743
14029,-8.131406625294758,-34.93864925987108,0.04923968762159348,0.04923968762159348,0.04923968762159348,0.04923968762159348
14030,-8.131413818353181,-34.93714097935288,0.1010288298130035,0.1010288298130035,0.1010288298130035,0.1010288298130035
14031,-8.13142100582158,-34.93563269745619,0.1578907668590546,0.1578907668590546,0.1578907668590546,0.1578907668590546
14032,-8.131428187699933,-34.93412441418209,0.2120238244533539,0.2120238244533539,0.2120238244533539,0.2120238244533539
14033,-8.131435363988215,-34.93261612953167,0.2638616859912872,0.2638616859912872,0.2638616859912872,0.2638616859912872
14034,-8.131442534686407,-34.93110784350598,0.3173127770423889,0.3173127770423889,0.3173127770423889,0.3173127770423889
14035,-8.131449699794477,-34.9295995561061,0.3763644099235535,0.3763644099235535,0.3763644099235535,0.3763644099235535
14036,-8.1314568593124,-34.92809126733311,0.443884551525116,0.443884551525116,0.443884551525116,0.443884551525116
