"longitude","latitude","day1","day2","day3","prediction"
-40.6467797172751,-9.47634139635963,0,0,0,0
-40.6184081832702,-9.47634139635963,0,0,0,0
-40.7602658532944,-9.4479698623548,0,0,0,0
-40.7035227852847,-9.4479698623548,0,0,0,0
-40.6751512512799,-9.4479698623548,0,0,0,0
-40.6467797172751,-9.4479698623548,0,0,0,0
-40.6184081832702,-9.4479698623548,0,0,0,0
-40.5900366492654,-9.4479698623548,0,0,0,0
-40.5616651152606,-9.4479698623548,0,0,0,0
-40.7602658532944,-9.41959832834996,0,0,0,0
-40.7318943192896,-9.41959832834996,0,0,0,0
-40.7035227852847,-9.41959832834996,0,0,0,0
-40.6751512512799,-9.41959832834996,0,0,0,0
-40.6467797172751,-9.41959832834996,0,0,0,0
-40.6184081832702,-9.41959832834996,0,0,0,0
-40.5900366492654,-9.41959832834996,0,0,0,0
-40.5616651152606,-9.41959832834996,0,0,0,0
-40.476550513246,-9.41959832834996,0,0,0,0
-40.7318943192896,-9.39122679434513,0,0,0,0
-40.7035227852847,-9.39122679434513,0,0,0,0
-40.6751512512799,-9.39122679434513,0,0,0,0
-40.6467797172751,-9.39122679434513,0,0,0,0
-40.6184081832702,-9.39122679434513,0,0,0,0
-40.5900366492654,-9.39122679434513,0,0,0,0
-40.5616651152606,-9.39122679434513,0,0,0,0
-40.5332935812557,-9.39122679434513,0,0,0,0
-40.5049220472509,-9.39122679434513,0,0,0,0
-40.476550513246,-9.39122679434513,0,0,0,0
-40.7318943192896,-9.36285526034029,0,0,0,0
-40.7035227852847,-9.36285526034029,0,0,0,0
-40.6751512512799,-9.36285526034029,0,0,0,0
-40.6467797172751,-9.36285526034029,0,0,0,0
-40.6184081832702,-9.36285526034029,0,0,0,0
-40.5900366492654,-9.36285526034029,0,0,0,0
-40.5616651152606,-9.36285526034029,0,0,0,0
-40.5332935812557,-9.36285526034029,0,0,0,0
-40.5049220472509,-9.36285526034029,0,0,0,0
-40.476550513246,-9.36285526034029,0,0,0,0
-40.4481789792412,-9.36285526034029,0,0,0,0
-40.3914359112315,-9.36285526034029,0,0,0,0
-40.3630643772267,-9.36285526034029,0,0,0,0
-36.9584802966464,-9.36285526034029,0,0,0,0
-40.7318943192896,-9.33448372633545,0,0,0,0
-40.7035227852847,-9.33448372633545,0,0,0,0
-40.6751512512799,-9.33448372633545,0,0,0,0
-40.6467797172751,-9.33448372633545,0,0,0,0
-40.6184081832702,-9.33448372633545,0,0,0,0
-40.5900366492654,-9.33448372633545,0,0,0,0
-40.5616651152606,-9.33448372633545,0,0,0,0
-40.5332935812557,-9.33448372633545,0,0,0,0
-40.5049220472509,-9.33448372633545,0,0,0,0
-40.476550513246,-9.33448372633545,0,0,0,0
-40.4481789792412,-9.33448372633545,0,0,0,0
-40.4198074452364,-9.33448372633545,0,0,0,0
-40.3914359112315,-9.33448372633545,0,0,0,0
-40.3630643772267,-9.33448372633545,0,0,0,0
-36.9868518306513,-9.33448372633545,0,0,0,0
-36.9584802966464,-9.33448372633545,0,0,0,0
-36.9301087626416,-9.33448372633545,0,0,0,0
-36.5896503545836,-9.33448372633545,0,0,0,0
-40.7318943192896,-9.30611219233062,0,0,0,0
-40.7035227852847,-9.30611219233062,0,0,0,0
-40.6751512512799,-9.30611219233062,0,0,0,0
